Date,UIUC_Tests,UIUC_Confirmed,B10_Tests,B10_Confirmed,Illinois_Tests,Illinois_Confirmed,Illinois_Deaths,US_Tests,US_Confirmed,US_Deaths,IL-UIUC_Tests,IL-UIUC_Confirmed,pctIL_Tests,pctUS_Tests,pctIL_Confirmed,pctUS_Confirmed,ILxUIUC_pctPos,Illinois_pctPos
2020-09-06,238157.0,1691.0,425719.0,10835.0,4420300.0,251515,8390,82836567.0,6281816,188941,4182143.0,249824.0,5.387801732914055,0.28750225730624496,0.672325706220305,0.026918967381406905,5.9735881819440415,5.689998416397077
2020-09-07,244456.0,1760.0,446756.0,11649.0,4449275.0,252884,8398,83425476.0,6305873,189208,4204819.0,251124.0,5.494288395300358,0.29302320073067367,0.6959712753673621,0.027910489158281496,5.9722903649360415,5.683712514960303
2020-09-08,256077.0,1841.0,466259.0,12639.0,4480638.0,254276,8405,83962996.0,6332616,189653,4224561.0,252435.0,5.715190559915798,0.3049879258715351,0.7240164230993094,0.02907171380674274,5.975413776721416,5.674995391281331
2020-09-09,268070.0,1888.0,487054.0,13217.0,4528667.0,255613,8433,84556989.0,6366176,190846,4260597.0,253725.0,5.9194018902250924,0.31702879107958776,0.7386165805338539,0.029656735848961762,5.955151355549469,5.644331985548948
2020-09-10,274696.0,1922.0,501459.0,13741.0,4577649.0,257566,8461,85179507.0,6402543,191766,4302953.0,255644.0,6.000809585881312,0.3224907136407822,0.7462165037310825,0.03001932201002008,5.94112926634337,5.626600029840645
2020-09-11,285949.0,1957.0,527919.0,14665.0,4634477.0,259879,8505,87225437.0,6450073,192979,4348528.0,257922.0,6.170038172592075,0.3278275349884461,0.7530427622085663,0.03034074187997562,5.931248459248739,5.607515152195167
2020-09-12,289958.0,1967.0,534711.0,14854.0,4691071.0,261999,8527,88046815.0,6491199,193693,4401113.0,260032.0,6.181061851334162,0.3293225314283089,0.750766224298566,0.030302568138798395,5.90832364449629,5.585057228935567
2020-09-13,294526.0,1984.0,545395.0,15116.0,4737961.0,263459,8541,88818290.0,6525827,194071,4443435.0,261475.0,6.216302751331216,0.33160512322405666,0.7530583506352032,0.030402276983438267,5.884524022518614,5.5605987470137475
2020-09-14,304740.0,2024.0,576457.0,15868.0,4773891.0,264831,8546,89602117.0,6559783,194493,4469151.0,262807.0,6.3834720985460285,0.3401035714368222,0.7642609815316183,0.03085467918679627,5.88046812470646,5.5474873640809985
2020-09-15,315972.0,2069.0,593669.0,16204.0,4812922.0,266295,8564,89986137.0,6598981,195781,4496950.0,264226.0,6.565076267597937,0.351134086353768,0.7769578850522917,0.031353325611939174,5.875671288317638,5.53291742521487
